ID,链家编号ID,小区名,城市,区县,道路号,CBD,单价,建成年份,用途,物业费,物业,开发商,总栋数,总户数,附近门店,经度,维度,录入时间
12,5.011E+12,中远两湾城,上海,普陀,"(普陀中远两湾城)远景路97弄、中潭路100弄（四期）, 远景路97弄，中潭路100弄，中潭路99弄（一期）, 中潭路99弄79-159号，中潭路100弄78-156号（二期）, 中潭路33弄07～15号，中潭路99弄189~241号，中潭路91弄01~59号（三期）, 中潭路100弄82、120号, 中潭路100弄254~306号, 中潭路99弄87、125、143、163号, 中潭路100弄222、254、302、304、306号",中远两湾城,81070,2000,塔楼/板楼/塔板结合,1.5至3.33元/平米/月,上海中远物业管理发展有限公司..,上海万业企业股份有限公司,100,11932,两湾城店/上海市普陀区中潭路100弄220号,0,0,2021/1/12 11:17
13,5.011E+12,慧芝湖花园,上海,静安,"(静安大宁)平型关路1083弄（一、二期）, 平型关路1088弄（三期）, 平型关路1018号, 平型关路1083弄12号、14号, 平型关路1083弄3号",大宁,94031,2007,塔楼/板楼,2.5至3.8元/平米/月,龙湖物业,嘉华(中国)投资有限公司,37,3526,慧芝湖二店/上海市闸北区平型关路1071号（第一层）,121.465689,31.28813,2021/1/12 11:17
14,5.011E+12,奥林匹克花园,上海,松江,"(松江九亭)涞亭北路99弄, 涞寅路106弄, 沪松公路1118-1186号, 涞寅路106弄1-131号",九亭,44052,1999,板楼,1.5至5元/平米/月,上海锐翔上房物业管理有限公司,上海奥林匹克置业投资有限公司,340,5396,奥园三店/上海市松江区涞寅路92号一层-2,121.336257,31.152722,2021/1/12 11:17
15,5.011E+12,新城金郡,上海,嘉定,"(嘉定嘉定新城)临泽路88弄, 临泽路89弄, 临泽路188弄, 云屏路1399弄, 临泽路189弄, 崇信路1518弄, 白银路1565号, 白银路1563号, 云屏路1520弄, 白银路1310弄, 白银路1147号, 白银路1298号, 云屏路1399弄1-33号",嘉定新城,45623,2010,板楼,1.7至2.1元/平米/月,新城物业,上海新城创佳置业有限公司,102,2560,白银路一店/上海市嘉定区白银路1107号1层,121.246299,31.348733,2021/1/12 11:17
16,5.011E+12,世茂滨江花园,上海,浦东,"(浦东陆家嘴)潍坊西路1弄,潍坊西路2弄",陆家嘴,103243,2002,板楼,5元/平米/月,世茂物业,上海世茂房地产有限公司,31,3890,世茂店/上海市浦东新区浦城路712号,0,0,2021/1/12 11:17
17,5.01106E+12,尚海湾豪庭,上海,徐汇,"(徐汇徐汇滨江)凯滨路18弄, 凯滨路19弄, 东安路888弄",徐汇滨江,118165,2008,板楼,4至5.5元/平米/月,金地物业公司,上海鑫泰房地产发展有限公司,18,1913,尚海湾店/上海市徐汇区东安路800弄14号104室,0,0,2021/1/12 11:17
18,5.011E+12,阳光威尼斯(三期),上海,普陀,(普陀真光)靖边路199弄,真光,51763,2006,板楼,1.53元/平米/月,上海阳光物业管理有限公司,上海意景房产开发有限公司,25,2809,靖边路二店/上海市普陀区靖边路193、195号,0,0,2021/1/12 11:17
19,5.011E+12,东方城市花园(二期),上海,浦东,(浦东南码头)东方路1881弄,南码头,83160,2005,板楼,2.15元/平米/月,上海由由物业管理有限公司,上海由由集团股份有限公司,87,3662,东方城市花园二店/上海市浦东新区东三里桥786号-1,0,0,2021/1/12 11:17
20,5.011E+12,崧泽华城佳福雅苑（六区）,上海,青浦,(青浦赵巷)秀泽路225弄,赵巷,32145,2014,板楼,1.1元/平米/月,上海沙林物业管理有限公司,中建八局,17,1172,汇金店/上海市青浦区秀禾路242号,121.163483,31.158968,2021/1/12 11:17
21,5.011E+12,环球翡翠湾花园(公寓),上海,浦东,(浦东三林)西泰林路158弄,三林,69485,2006,板楼,2.95至4.8元/平米/月,上海万科物业有限公司,上海浦发振丰房地产发展有限公司,39,1219,环球翡翠湾店/上海市浦东新区西泰林路158弄19号104室,0,0,2021/1/12 11:17
